kind,method,url_path,file_path,referenced_by_count,references_sample,notes
"api","GET|POST","/api/pro/businesses/[businessId]/clients","src/app/api/pro/businesses/[businessId]/clients/route.ts","14","src/components/pro/agenda/AgendaPage.tsx:67:          fetchJson<ListResponse>(`/api/pro/businesses/${businessId}/clients`, {}, controller.signal), || src/components/pro/agenda/AgendaPage.tsx:163:        ? `/api/pro/businesses/${businessId}/clients` || src/components/pro/clients/ClientInfoTab.tsx:97:        `/api/pro/businesses/${businessId}/clients/${clientId}`,",""
"api","GET|PATCH","/api/pro/businesses/[businessId]/clients/[clientId]","src/app/api/pro/businesses/[businessId]/clients/[clientId]/route.ts","9","src/components/pro/clients/ClientInfoTab.tsx:97:        `/api/pro/businesses/${businessId}/clients/${clientId}`, || src/components/pro/clients/ClientDocumentsTab.tsx:95:          `/api/pro/businesses/${businessId}/clients/${clientId}/documents`, || src/components/pro/clients/ClientDocumentsTab.tsx:120:      `/api/pro/businesses/${businessId}/clients/${clientId}/documents`,",""
"api","GET|POST","/api/pro/businesses/[businessId]/clients/[clientId]/documents","src/app/api/pro/businesses/[businessId]/clients/[clientId]/documents/route.ts","5","src/components/pro/clients/ClientDocumentsTab.tsx:95:          `/api/pro/businesses/${businessId}/clients/${clientId}/documents`, || src/components/pro/clients/ClientDocumentsTab.tsx:120:      `/api/pro/businesses/${businessId}/clients/${clientId}/documents`, || src/components/pro/clients/ClientDocumentsTab.tsx:138:      const res = await fetch(`/api/pro/businesses/${businessId}/clients/${clientId}/documents`, {",""
"api","UNKNOWN","/api/pro/businesses/[businessId]/clients/[clientId]/documents/upload","src/app/api/pro/businesses/[businessId]/clients/[clientId]/documents/upload/route.ts","0","",""
"api","POST","/api/pro/businesses/[businessId]/clients/bulk","src/app/api/pro/businesses/[businessId]/clients/bulk/route.ts","0","",""
"api","GET","/api/pro/businesses/[businessId]/dashboard","src/app/api/pro/businesses/[businessId]/dashboard/route.ts","2","src/components/pro/ProDashboard.tsx:143:          fetchJson<DashboardPayload>(`/api/pro/businesses/${businessId}/dashboard`, { cache: 'no-store' }), || src/app/api/pro/businesses/[businessId]/dashboard/route.ts:37:// GET /api/pro/businesses/{businessId}/dashboard",""
"api","GET","/api/pro/businesses/[businessId]/documents/[documentId]/download","src/app/api/pro/businesses/[businessId]/documents/[documentId]/download/route.ts","2","src/app/api/pro/businesses/[businessId]/clients/[clientId]/documents/route.ts:98:        downloadUrl: `/api/pro/businesses/${businessId}/documents/${d.id.toString()}/download`, || src/app/api/pro/businesses/[businessId]/documents/[documentId]/download/route.ts:29:// GET /api/pro/businesses/:businessId/documents/:documentId/download",""
"api","GET","/api/pro/businesses/[businessId]/documents/[documentId]/view","src/app/api/pro/businesses/[businessId]/documents/[documentId]/view/route.ts","2","src/app/api/pro/businesses/[businessId]/documents/[documentId]/view/route.ts:29:// GET /api/pro/businesses/:businessId/documents/:documentId/view || src/app/api/pro/businesses/[businessId]/clients/[clientId]/documents/route.ts:99:        viewUrl: `/api/pro/businesses/${businessId}/documents/${d.id.toString()}/view`,",""
"api","GET|POST","/api/pro/businesses/[businessId]/finances","src/app/api/pro/businesses/[businessId]/finances/route.ts","18","src/components/pro/finances/FinanceEntriesPanel.tsx:178:        `/api/pro/businesses/${businessId}/finances${query.toString() ? `?${query.toString()}` : ''}`, || src/components/pro/finances/FinanceEntriesPanel.tsx:271:      `/api/pro/businesses/${businessId}/finances${editing ? `/${editing.id}` : ''}`, || src/components/pro/finances/FinanceEntriesPanel.tsx:289:    const res = await fetchJson<FinanceDetailResponse>(`/api/pro/businesses/${businessId}/finances/${id}`);",""
"api","GET|PATCH|DELETE","/api/pro/businesses/[businessId]/finances/[financeId]","src/app/api/pro/businesses/[businessId]/finances/[financeId]/route.ts","12","src/components/pro/finances/FinanceEntriesPanel.tsx:289:    const res = await fetchJson<FinanceDetailResponse>(`/api/pro/businesses/${businessId}/finances/${id}`); || src/components/pro/finances/FinanceEntriesPanel.tsx:302:    const res = await fetchJson(`/api/pro/businesses/${businessId}/finances/${finance.id}`, { || src/components/pro/finances/FinanceEntriesPanel.tsx:320:          fetchJson(`/api/pro/businesses/${businessId}/finances/${id}`, { method: 'DELETE' })",""
"api","GET","/api/pro/businesses/[businessId]/finances/forecasting","src/app/api/pro/businesses/[businessId]/finances/forecasting/route.ts","2","src/components/pro/finances/ForecastingPanel.tsx:44:      const res = await fetchJson<ForecastResponse>(`/api/pro/businesses/${businessId}/finances/forecasting`); || src/app/api/pro/businesses/[businessId]/finances/forecasting/route.ts:41:// GET /api/pro/businesses/{businessId}/finances/forecasting",""
"api","GET","/api/pro/businesses/[businessId]/finances/treasury","src/app/api/pro/businesses/[businessId]/finances/treasury/route.ts","1","src/components/pro/finances/TreasuryPanel.tsx:39:      const res = await fetchJson<TreasuryResponse>(`/api/pro/businesses/${businessId}/finances/treasury`);",""
"api","GET","/api/pro/businesses/[businessId]/finances/vat","src/app/api/pro/businesses/[businessId]/finances/vat/route.ts","2","src/components/pro/finances/VatPanel.tsx:40:      const res = await fetchJson<VatResponse>(`/api/pro/businesses/${businessId}/finances/vat`); || src/app/api/pro/businesses/[businessId]/finances/vat/route.ts:35:// GET /api/pro/businesses/{businessId}/finances/vat",""
"api","GET|POST","/api/pro/businesses/[businessId]/interactions","src/app/api/pro/businesses/[businessId]/interactions/route.ts","8","src/components/pro/clients/ClientInteractionsTab.tsx:60:          `/api/pro/businesses/${businessId}/interactions?clientId=${clientId}&limit=50`, || src/components/pro/clients/ClientInteractionsTab.tsx:95:      const res = await fetchJson<Interaction>(`/api/pro/businesses/${businessId}/interactions`, { || src/components/pro/clients/ClientInteractionsTab.tsx:112:        `/api/pro/businesses/${businessId}/interactions?clientId=${clientId}&limit=50`,",""
"api","PATCH|DELETE","/api/pro/businesses/[businessId]/interactions/[interactionId]","src/app/api/pro/businesses/[businessId]/interactions/[interactionId]/route.ts","2","src/app/api/pro/businesses/[businessId]/interactions/[interactionId]/route.ts:39:// PATCH /api/pro/businesses/{businessId}/interactions/{interactionId} || src/app/api/pro/businesses/[businessId]/interactions/[interactionId]/route.ts:133:// DELETE /api/pro/businesses/{businessId}/interactions/{interactionId}",""
"api","GET","/api/pro/businesses/[businessId]/inventory/summary","src/app/api/pro/businesses/[businessId]/inventory/summary/route.ts","2","src/app/app/pro/[businessId]/stock/page.tsx:78:        fetchJson<{ items: SummaryRow[] }>(`/api/pro/businesses/${businessId}/inventory/summary`, {}, controller.signal), || src/app/api/pro/businesses/[businessId]/inventory/summary/route.ts:28:// GET /api/pro/businesses/{businessId}/inventory/summary",""
"api","GET|POST","/api/pro/businesses/[businessId]/invites","src/app/api/pro/businesses/[businessId]/invites/route.ts","7","src/app/app/pro/[businessId]/invites/page.tsx:92:        `/api/pro/businesses/${businessId}/invites`, || src/app/app/pro/[businessId]/invites/page.tsx:145:      const res = await fetchJson<InviteCreateResponseWithLink>(`/api/pro/businesses/${businessId}/invites`, { || src/app/app/pro/[businessId]/invites/page.tsx:199:        `/api/pro/businesses/${businessId}/invites/${inviteId}`,",""
"api","DELETE","/api/pro/businesses/[businessId]/invites/[inviteId]","src/app/api/pro/businesses/[businessId]/invites/[inviteId]/route.ts","2","src/app/app/pro/[businessId]/invites/page.tsx:199:        `/api/pro/businesses/${businessId}/invites/${inviteId}`, || src/app/api/pro/businesses/[businessId]/invites/[inviteId]/route.ts:32:// DELETE /api/pro/businesses/{businessId}/invites/{inviteId}",""
"api","GET|PATCH","/api/pro/businesses/[businessId]/invoices/[invoiceId]","src/app/api/pro/businesses/[businessId]/invoices/[invoiceId]/route.ts","9","src/components/pro/clients/ClientAccountingTab.tsx:215:                          const res = await fetchJson(`/api/pro/businesses/${businessId}/invoices/${inv.id}`, { || src/app/api/pro/businesses/[businessId]/invoices/[invoiceId]/route.ts:122:// GET /api/pro/businesses/{businessId}/invoices/{invoiceId} || src/app/api/pro/businesses/[businessId]/invoices/[invoiceId]/route.ts:162:// PATCH /api/pro/businesses/{businessId}/invoices/{invoiceId}",""
"api","GET","/api/pro/businesses/[businessId]/invoices/[invoiceId]/pdf","src/app/api/pro/businesses/[businessId]/invoices/[invoiceId]/pdf/route.ts","3","src/app/api/pro/businesses/[businessId]/invoices/[invoiceId]/pdf/route.ts:22:// GET /api/pro/businesses/{businessId}/invoices/{invoiceId}/pdf || src/app/api/pro/businesses/[businessId]/clients/[clientId]/documents/route.ts:108:        pdfUrl: `/api/pro/businesses/${businessId}/invoices/${inv.id.toString()}/pdf`, || src/app/app/pro/[businessId]/finances/invoices/[invoiceId]/page.tsx:171:  const pdfUrl = `/api/pro/businesses/${businessId}/invoices/${invoiceId}/pdf`;",""
"api","POST","/api/pro/businesses/[businessId]/leave","src/app/api/pro/businesses/[businessId]/leave/route.ts","1","src/app/app/account/page.tsx:99:      `/api/pro/businesses/${encodeURIComponent(businessId)}/leave`,",""
"api","GET","/api/pro/businesses/[businessId]/ledger","src/app/api/pro/businesses/[businessId]/ledger/route.ts","6","src/components/pro/finances/LedgerPanel.tsx:57:        `/api/pro/businesses/${businessId}/ledger?limit=50`, || src/components/pro/finances/LedgerPanel.tsx:133:                href={`/api/pro/businesses/${businessId}/ledger/${entry.id}`} || src/app/api/pro/businesses/[businessId]/ledger/route.ts:52:// GET /api/pro/businesses/{businessId}/ledger",""
"api","GET","/api/pro/businesses/[businessId]/ledger/[entryId]","src/app/api/pro/businesses/[businessId]/ledger/[entryId]/route.ts","4","src/components/pro/finances/LedgerPanel.tsx:133:                href={`/api/pro/businesses/${businessId}/ledger/${entry.id}`} || src/app/app/pro/[businessId]/finances/invoices/[invoiceId]/page.tsx:219:                      href={`/api/pro/businesses/${businessId}/ledger/${invoice.consumptionLedgerEntryId}`} || src/app/app/pro/[businessId]/finances/invoices/[invoiceId]/page.tsx:227:                      href={`/api/pro/businesses/${businessId}/ledger/${invoice.cashSaleLedgerEntryId}`}",""
"api","GET","/api/pro/businesses/[businessId]/members","src/app/api/pro/businesses/[businessId]/members/route.ts","9","src/app/app/pro/ProHomeClient.tsx:240:              `/api/pro/businesses/${businessId}/members`, || src/app/api/pro/businesses/[businessId]/members/[userId]/route.ts:95:// GET /api/pro/businesses/{businessId}/members/{userId} || src/app/api/pro/businesses/[businessId]/members/[userId]/route.ts:129:// PATCH /api/pro/businesses/{businessId}/members/{userId}",""
"api","GET|PATCH|DELETE","/api/pro/businesses/[businessId]/members/[userId]","src/app/api/pro/businesses/[businessId]/members/[userId]/route.ts","6","src/app/app/pro/[businessId]/settings/team/page.tsx:218:        `/api/pro/businesses/${businessId}/members/${roleModal.member.userId}`, || src/app/app/pro/[businessId]/settings/team/page.tsx:274:        `/api/pro/businesses/${businessId}/members/${removeModal.userId}`, || src/app/app/pro/[businessId]/settings/team/page.tsx:333:        `/api/pro/businesses/${businessId}/members/${employeeModal.userId}`,",""
"api","GET|POST","/api/pro/businesses/[businessId]/payments","src/app/api/pro/businesses/[businessId]/payments/route.ts","3","src/components/pro/clients/ClientAccountingTab.tsx:139:      const res = await fetchJson(`/api/pro/businesses/${businessId}/payments`, { || src/app/api/pro/businesses/[businessId]/payments/route.ts:31:// GET /api/pro/businesses/{businessId}/payments?clientId=... || src/app/api/pro/businesses/[businessId]/payments/route.ts:81:// POST /api/pro/businesses/{businessId}/payments",""
"api","GET|POST","/api/pro/businesses/[businessId]/processes","src/app/api/pro/businesses/[businessId]/processes/route.ts","18","src/app/app/pro/[businessId]/process/page.tsx:92:        `/api/pro/businesses/${businessId}/processes${query}`, || src/app/app/pro/[businessId]/process/page.tsx:138:    const res = await fetchJson<ProcessDetailResponse>(`/api/pro/businesses/${businessId}/processes`, { || src/app/app/pro/[businessId]/process/[processId]/page.tsx:104:        `/api/pro/businesses/${businessId}/processes/${processId}`",""
"api","GET|PATCH|DELETE","/api/pro/businesses/[businessId]/processes/[processId]","src/app/api/pro/businesses/[businessId]/processes/[processId]/route.ts","14","src/app/app/pro/[businessId]/process/[processId]/page.tsx:104:        `/api/pro/businesses/${businessId}/processes/${processId}` || src/app/app/pro/[businessId]/process/[processId]/page.tsx:154:      `/api/pro/businesses/${businessId}/processes/${processId}`, || src/app/app/pro/[businessId]/process/[processId]/page.tsx:185:      `/api/pro/businesses/${businessId}/processes/${processId}`,",""
"api","POST","/api/pro/businesses/[businessId]/processes/[processId]/steps","src/app/api/pro/businesses/[businessId]/processes/[processId]/steps/route.ts","7","src/app/app/pro/[businessId]/process/[processId]/page.tsx:263:      ? `/api/pro/businesses/${businessId}/processes/${processId}/steps/${editingStep.id}` || src/app/app/pro/[businessId]/process/[processId]/page.tsx:264:      : `/api/pro/businesses/${businessId}/processes/${processId}/steps`; || src/app/app/pro/[businessId]/process/[processId]/page.tsx:296:      `/api/pro/businesses/${businessId}/processes/${processId}/steps/${step.id}`,",""
"api","PATCH|DELETE","/api/pro/businesses/[businessId]/processes/[processId]/steps/[stepId]","src/app/api/pro/businesses/[businessId]/processes/[processId]/steps/[stepId]/route.ts","5","src/app/app/pro/[businessId]/process/[processId]/page.tsx:263:      ? `/api/pro/businesses/${businessId}/processes/${processId}/steps/${editingStep.id}` || src/app/app/pro/[businessId]/process/[processId]/page.tsx:296:      `/api/pro/businesses/${businessId}/processes/${processId}/steps/${step.id}`, || src/app/app/pro/[businessId]/process/[processId]/page.tsx:331:      `/api/pro/businesses/${businessId}/processes/${processId}/steps/${step.id}`,",""
